orbit_altitude_km,elevation_deg,frequency_ghz,slant_range_km,fspl_db,propagation_losses_db,total_path_loss_db,eirp_dbw,rx_gain_dbi,rx_interconnect_db,rx_rolloff_db,rx_other_overall_db,p_iso_dbm,p_rx_dbm,rx_sensitivity_dbm,link_margin_db
500.0,0.0,2.0675,2573.130389234094,166.96814624330486,4.0,170.96814624330486,44.520012277265934,7.0,-3.7,6.0,2.0,-96.44813396603892,-101.14813396603893,-100.5,-0.6481339660389267
500.0,5.0,2.0675,2077.091666328085,165.10802362983014,4.0,169.10802362983014,44.520012277265934,7.0,-3.7,6.0,2.0,-94.58801135256421,-99.28801135256421,-100.5,1.2119886474357884
500.0,10.0,2.0675,1694.567221154679,163.34008639210833,4.0,167.34008639210833,44.520012277265934,7.0,-3.7,6.0,2.0,-92.8200741148424,-97.5200741148424,-100.5,2.9799258851575985
500.0,15.0,2.0675,1407.2036480456748,161.72604941087678,4.0,165.72604941087678,44.520012277265934,7.0,-3.7,6.0,2.0,-91.20603713361085,-95.90603713361085,-100.5,4.593962866389148
500.0,20.0,2.0675,1192.7971987277242,160.29024257468956,4.0,164.29024257468956,44.520012277265934,7.0,-3.7,6.0,2.0,-89.77023029742362,-94.47023029742363,-100.5,6.029769702576374
600.0,0.0,2.0675,2829.3462142339527,167.79263223149377,4.0,171.79263223149377,44.520012277265934,7.0,-3.7,6.0,2.0,-97.27261995422784,-101.97261995422784,-100.5,-1.472619954227838
600.0,5.0,2.0675,2328.0489773751497,166.09875261927223,4.0,170.09875261927223,44.520012277265934,7.0,-3.7,6.0,2.0,-95.5787403420063,-100.2787403420063,-100.5,0.2212596579936985
600.0,10.0,2.0675,1931.6353589090172,164.47741329717883,4.0,168.47741329717883,44.520012277265934,7.0,-3.7,6.0,2.0,-93.9574010199129,-98.6574010199129,-100.5,1.8425989800871037
600.0,15.0,2.0675,1625.8448306410517,162.98049225469526,4.0,166.98049225469526,44.520012277265934,7.0,-3.7,6.0,2.0,-92.46047997742933,-97.16047997742933,-100.5,3.3395200225706674
600.0,20.0,2.0675,1392.1639879993036,161.63271827240288,4.0,165.63271827240288,44.520012277265934,7.0,-3.7,6.0,2.0,-91.11270599513695,-95.81270599513695,-100.5,4.687294004863048
